Slide Lot,Intensity,RPMI,Cell Line,Conjugate,Configuration
2101900,96,No,2030417,2122300,14
2101900,97,No,2030417,2122300,14
2101900,97,No,2030417,2122300,14
2101900,56,No,2030417,2122300,14
2101900,100,No,2030417,2122300,14
2101900,120,No,2030417,2122300,14
2101900,108,No,2030417,2122300,14
2101900,73,No,2030417,2122300,14
2101900,95,No,2030417,2122300,14
2101900,26,No,2030417,2122300,14
2101900,94,No,2030417,2122300,14
2101900,102,No,2030417,2122300,14
2101900,147,No,2030417,2122300,14
2101900,109,No,2030417,2122300,14
2101900,103,No,2030417,2122300,14
2101900,100,No,2030417,2122300,14
2101900,93,No,2030417,2122300,14
2101900,108,No,2030417,2122300,14
2101900,119,No,2030417,2122300,14
2101900,116,No,2030417,2122300,14
2101900,108,No,2030417,2122300,14
2101900,113,No,2030417,2122300,14
2101900,101,No,2030417,2122300,14
2101900,105,No,2030417,2122300,14
2101900,109,No,2030417,2122300,14
2101900,107,No,2030417,2122300,14
2105400,87,No,2030417,2122300,21
2105400,84,No,2030417,2122300,21
2105400,90,No,2030417,2122300,21
2105400,114,No,2030417,2122300,21
2105400,110,No,2030417,2122300,21
2105400,93,No,2030417,2122300,21
2105400,98,No,2030417,2122300,21
2105400,90,No,2030417,2122300,21
2105400,83,No,2030417,2122300,21
2105400,87,No,2030417,2122300,21
2105400,89,No,2030417,2122300,21
2105400,90,No,2030417,2122300,21
2105400,84,No,2030417,2122300,21
2105400,102,No,2030417,2122300,21
2105400,70,No,2030417,2122300,21
2105400,68,No,2030417,2122300,21
2105400,81,No,2030417,2122300,21
2105400,68,No,2030417,2122300,21
2105400,96,No,2030417,2122300,21
2105400,55,No,2030417,2122300,21
2105400,95,No,2030417,2122300,21
2105400,93,No,2030417,2122300,21
2105400,103,No,2030417,2122300,21
2105400,104,No,2030417,2122300,21
2105400,109,No,2030417,2122300,21
2105400,104,No,2030417,2122300,21
2105400,107,No,2030417,2122300,21
2105400,104,No,2030417,2122300,21
2105400,104,No,2030417,2122300,21
2105400,107,No,2030417,2122300,21
2105400,107,No,2030417,2122300,21
2105400,109,No,2030417,2122300,21
2105400,109,No,2030417,2122300,21
2105400,107,No,2030417,2122300,21
2105400,56,No,2030417,2122300,21
2105400,97,No,2030417,2122300,21
2105400,102,No,2030417,2122300,21
2105400,106,No,2030417,2122300,21
2105400,104,No,2030417,2122300,21
2108900,99,No,2104112,2122300,14
2108900,94,No,2104112,2122300,14
2108900,97,No,2104112,2122300,14
2108900,92,No,2104112,2122300,14
2108900,89,No,2104112,2122300,14
2108900,91,No,2104112,2122300,14
2108900,70,No,2104112,2122300,14
2108900,94,No,2104112,2122300,14
2108900,101,No,2104112,2122300,14
2108900,97,No,2104112,2122300,14
2108900,88,No,2104112,2122300,14
2108900,98,No,2104112,2122300,14
2108900,105,No,2104112,2122300,14
2108900,106,No,2104112,2122300,14
2108900,103,No,2104112,2122300,14
2108900,111,No,2104112,2122300,14
2108900,122,No,2104112,2122300,14
2108900,104,No,2104112,2122300,14
2108900,98,No,2104112,2122300,14
2108900,93,No,2104112,2122300,14
2108900,104,No,2104112,2122300,14
2108900,100,No,2104112,2122300,14
2108900,102,No,2104112,2122300,14
2108900,106,No,2104112,2122300,14
2108900,111,No,2104112,2122300,14
2108900,94,No,2104112,2122300,14
2112400,102,No,2104112,2122300,14
2112400,92,No,2104112,2122300,14
2112400,95,No,2104112,2122300,14
2112400,93,No,2104112,2122300,14
2112400,99,No,2104112,2122300,14
2112400,87,No,2104112,2122300,14
2112400,81,No,2104112,2122300,14
2112400,74,No,2104112,2122300,14
2112400,85,No,2104112,2122300,14
2112400,84,No,2104112,2122300,14
2112400,87,No,2104112,2122300,14
2112400,89,No,2104112,2122300,14
2112400,102,No,2104112,2122300,14
2112400,95,No,2104112,2122300,14
2112400,115,No,2104112,2122300,14
2112400,102,No,2104112,2122300,14
2112400,115,No,2104112,2122300,14
2112400,85,No,2104112,2122300,14
2112400,80,No,2104112,2122300,14
2112400,81,No,2104112,2122300,14
2112400,102,No,2104112,2122300,14
2112400,77,No,2104112,2122300,14
2112400,98,No,2104112,2122300,14
2112400,101,No,2104112,2122300,14
2112400,99,No,2104112,2122300,14
2112400,103,No,2104112,2122300,14
2114500,86,No,2104112,2122300,14
2114500,89,No,2104112,2122300,14
2114500,95,No,2104112,2122300,14
2114500,90,No,2104112,2122300,14
2114500,81,No,2104112,2122300,14
2114500,40,No,2104112,2122300,14
2114500,56,No,2104112,2122300,14
2114500,88,No,2104112,2122300,14
2114500,89,No,2104112,2122300,14
2114500,87,No,2104112,2122300,14
2114500,88,No,2104112,2122300,14
2114500,91,No,2104112,2122300,14
2114500,92,No,2104112,2122300,14
2114500,63,No,2104112,2122300,14
2114500,65,No,2104112,2122300,14
2114500,84,No,2104112,2122300,14
2114500,85,No,2104112,2122300,14
2114500,89,No,2104112,2122300,14
2114500,72,No,2104112,2122300,14
2114500,152,No,2104112,2122300,14
2114500,77,No,2104112,2122300,14
2114500,76,No,2104112,2122300,14
2114500,74,No,2104112,2122300,14
2114500,86,No,2104112,2122300,14
2114500,76,No,2104112,2122300,14
2114500,91,No,2104112,2122300,14
2114701,80,No,2104112,2122300,14
2114701,82,No,2104112,2122300,14
2114701,77,No,2104112,2122300,14
2114701,72,No,2104112,2122300,14
2114701,79,No,2104112,2122300,14
2114701,87,No,2104112,2122300,14
2114701,80,No,2104112,2122300,14
2114701,73,No,2104112,2122300,14
2114701,78,No,2104112,2122300,14
2114701,79,No,2104112,2122300,14
2114701,79,No,2104112,2122300,14
2114701,83,No,2104112,2122300,14
2114701,83,No,2104112,2122300,14
2114701,68,No,2104112,2122300,14
2114701,62,No,2104112,2122300,14
2114701,62,No,2104112,2122300,14
2114701,69,No,2104112,2122300,14
2114701,64,No,2104112,2122300,14
2114701,52,No,2104112,2122300,14
2114701,52,No,2104112,2122300,14
2114701,55,No,2104112,2122300,14
2114701,59,No,2104112,2122300,14
2114701,67,No,2104112,2122300,14
